property,name
"Worker Placement, Different Worker Types",['Worker Placement']
World War I,"['War Game', 'History']"
World War II,"['War Game', 'History']"
Wargame,['War Game']
Zombies,['Zombies']
Zone of Control,
Thematic Games,['Thematic']
Abstract Games,['Abstract']
Strategy Games,['Strategy']
Wargames,['War Game']
Party Games,['Party Game']
Children's Games,['Childrens Game']
Customizable Games,['Customizable Game']
Family Games,['Family']
Deck Building,
Engineering,
Flowers,
Marbles,
Solitaire,
Magnets,
n in a Row,
Safari Parks,"['Animals', 'Nature', 'Theme Park']"
Control Boards,
Tower Defense,
Gems,
One versus Many,
Book as Board,
Give a Clue / Get a Clue,
Historical,['History']
Love,
Superheroes,
Mining,
Finger Flicking,
Gardening,
Judging Games,
Circus,
Map,
Flip-and-Write,
Anime,
Theme Park,
Player Screens,
Space,
Fishing,
Warhammer,
Survival,
